User,Client,"Client Type",Date,Duration,"Type Of Call","External Call Score"
"Emma Wright","Riley Kennedy",Nurse,"2020-05-28 12:13:03",499,Outgoing,39
"Emma Wright","Zach Robinson",Nurse,"2020-05-26 01:16:36",343,Incoming,79
"Emma Wright","Lola Ellis",Nurse,"2020-05-30 06:02:44",257,Outgoing,76
"Emma Wright","Florence Fox",Nurse,"2020-05-28 01:40:30",936,Incoming,31
"Emma Wright","Faye Fox",Carer,"2020-05-23 01:16:47",272,Outgoing,31
"Emma Wright","Donna Holmes",Nurse,"2020-06-13 02:09:24",999,Incoming,50
"Emma Wright","Michael Walker",Carer,"2020-05-22 11:25:57",566,Incoming,55
"Emma Wright","Rowena Smith",Carer,"2020-06-14 12:17:58",260,Outgoing,87
"Emma Wright","Gary Harris",Carer,"2020-04-26 10:23:00",365,Incoming,21
"Emma Wright","Andy Reid",Carer,"2020-05-10 01:43:03",963,Outgoing,66
"Emma Wright","Jessica Hunt",Carer,"2020-05-28 01:33:39",953,Outgoing,1
"Emma Wright","Justine Holmes",Nurse,"2020-06-01 07:37:42",859,Outgoing,88
"Emma Wright","Karlie Rogers",Nurse,"2020-05-23 02:24:27",129,Outgoing,74
"Emma Wright","Suzanne Campbell",Carer,"2020-04-17 11:39:28",308,Incoming,13
"Emma Wright","Andy Reid",Carer,"2020-05-29 08:50:07",253,Incoming,48
"Emma Wright","Elizabeth Carter",Nurse,"2020-06-14 05:04:58",785,Incoming,11
"Emma Wright","Patrick Chapman",Nurse,"2020-05-30 02:31:15",368,Incoming,65
"Emma Wright","Emma Robinson",Carer,"2020-04-26 06:50:45",613,Incoming,8
"Emma Wright","Nathan Bennett",Carer,"2020-06-04 04:18:57",678,Incoming,82
"Emma Wright","Yasmine Robertson",Nurse,"2020-06-14 07:06:55",599,Incoming,90
"Emma Wright","Suzanne Campbell",Carer,"2020-04-16 09:51:28",640,Incoming,75
"Emma Wright","Charlotte Powell",Nurse,"2020-05-30 08:19:03",644,Outgoing,31
"Emma Wright","Rowena Smith",Carer,"2020-05-17 09:12:17",605,Incoming,55
"Emma Wright","Ian Ward",Nurse,"2020-06-13 01:22:36",627,Outgoing,28
"Emma Wright","Joanne Walsh",Nurse,"2020-05-19 03:25:11",283,Incoming,67
"Emma Wright","Emma Smith",Carer,"2020-06-11 07:52:14",968,Outgoing,98
"Emma Wright","Stephanie Miller",Nurse,"2020-04-26 11:01:35",361,Incoming,89
"Emma Wright","Ben Walsh",Carer,"2020-05-15 11:32:49",684,Outgoing,90
"Emma Wright","Michael Walker",Carer,"2020-04-26 08:54:54",206,Incoming,19
"Emma Wright","Holly Murray",Carer,"2020-05-03 09:56:32",693,Incoming,94
"Emma Wright","Quentin Harris",Carer,"2020-06-11 04:57:56",723,Incoming,93
"Emma Wright","Jessica Hunt",Carer,"2020-05-11 10:29:28",788,Outgoing,11
"Emma Wright","Michael Miller",Nurse,"2020-06-09 05:36:34",181,Outgoing,28
"Emma Wright","Scott Miller",Carer,"2020-05-14 11:52:52",418,Outgoing,85
"Emma Wright","Andrew Gray",Nurse,"2020-04-21 01:18:11",379,Outgoing,1
"Emma Wright","Isabella Mitchell",Carer,"2020-06-08 09:21:01",312,Outgoing,85
"Emma Wright","Charlotte Powell",Nurse,"2020-04-29 07:49:06",101,Outgoing,56
"Emma Wright","Karlie Rogers",Nurse,"2020-05-17 02:15:12",314,Incoming,84
"Emma Wright","Charlie Martin",Nurse,"2020-06-04 07:55:41",756,Incoming,82
"Emma Wright","Caitlin Ross",Carer,"2020-04-16 08:37:51",190,Incoming,95
"Emma Wright","Ben Walsh",Carer,"2020-05-11 10:05:04",276,Incoming,59
"Emma Wright","Callum Johnson",Nurse,"2020-05-18 01:40:49",889,Outgoing,3
"Emma Wright","Faye Fox",Carer,"2020-04-21 05:57:22",796,Incoming,84
"Emma Wright","Anthony Kelly",Nurse,"2020-04-28 04:31:44",726,Incoming,84
"Emma Wright","Bradley Stewart",Carer,"2020-04-18 07:24:08",258,Outgoing,36
"Emma Wright","Suzanne Campbell",Carer,"2020-05-15 08:25:39",102,Outgoing,56
"Emma Wright","Karlie Harrison",Carer,"2020-05-08 02:10:05",549,Outgoing,77
"Emma Wright","Elizabeth Carter",Nurse,"2020-04-18 09:52:50",695,Outgoing,42
"Emma Wright","Owen Green",Nurse,"2020-06-16 09:42:44",262,Incoming,56
"Emma Wright","Justine Holmes",Nurse,"2020-05-15 06:57:59",560,Outgoing,15
"Emma Wright","Andrew Harrison",Carer,"2020-04-19 12:40:27",662,Outgoing,51
"Emma Wright","Zach Robinson",Nurse,"2020-05-07 11:19:03",238,Outgoing,25
"Emma Wright","Stephanie Miller",Nurse,"2020-04-24 09:14:38",346,Outgoing,10
"Emma Wright","Zach Robinson",Nurse,"2020-05-12 08:16:13",222,Outgoing,77
"Emma Wright","Quentin Harris",Carer,"2020-05-12 04:38:04",458,Incoming,16
"Emma Wright","Lola Ellis",Nurse,"2020-04-16 06:52:43",257,Outgoing,91
"Emma Wright","Adrian Hall",Nurse,"2020-05-02 03:02:26",796,Outgoing,73
"Emma Wright","Isabella Mitchell",Carer,"2020-05-16 04:44:08",416,Outgoing,90
"Emma Wright","Toby Martin",Carer,"2020-05-31 09:37:54",562,Incoming,13
"Emma Wright","Charlie Martin",Nurse,"2020-04-15 09:51:51",633,Incoming,89
"Emma Wright","Lola Ellis",Nurse,"2020-04-20 04:15:32",561,Incoming,36
"Emma Wright","Abbie Bailey",Carer,"2020-04-28 02:00:40",490,Incoming,77
"Emma Wright","Lexi Cox",Nurse,"2020-05-26 03:17:24",691,Outgoing,57
"Emma Wright","Charlotte Powell",Nurse,"2020-04-30 05:45:45",946,Incoming,17
"Emma Wright","Toby Martin",Carer,"2020-05-15 02:33:10",596,Outgoing,100
"Emma Wright","Jacob Matthews",Nurse,"2020-05-18 06:37:44",527,Incoming,85
"Emma Wright","Donna Holmes",Nurse,"2020-06-08 10:08:18",278,Outgoing,39
"Emma Wright","Brandon Evans",Carer,"2020-05-29 07:53:19",308,Outgoing,82
"Emma Wright","Charlotte Powell",Nurse,"2020-04-15 12:42:48",746,Incoming,15
"Emma Wright","Andrew Harrison",Carer,"2020-06-11 12:09:35",372,Incoming,25
"Emma Wright","Justine Holmes",Nurse,"2020-05-12 08:05:55",994,Outgoing,68
"Emma Wright","Jacob Matthews",Nurse,"2020-04-25 10:52:59",386,Incoming,16
"Emma Wright","Jacob Matthews",Nurse,"2020-05-02 03:24:37",569,Outgoing,51
"Emma Wright","Gary Harris",Carer,"2020-05-06 03:30:45",252,Incoming,10
"Emma Wright","Emma Robinson",Carer,"2020-06-07 12:41:06",114,Incoming,16
"Emma Wright","Paul Patel",Carer,"2020-05-08 04:08:59",954,Incoming,61
"Emma Wright","Brandon Evans",Carer,"2020-05-29 05:25:15",957,Incoming,31
"Emma Wright","Michael Phillips",Carer,"2020-06-11 11:35:46",538,Incoming,80
"Emma Wright","Quentin Harris",Carer,"2020-05-14 11:10:54",341,Incoming,70
"Emma Wright","Gary Harris",Carer,"2020-06-02 03:07:53",534,Incoming,56
"Emma Wright","Mohammed Roberts",Nurse,"2020-05-30 09:15:29",719,Outgoing,45
"Emma Wright","Stephanie Jones",Carer,"2020-05-19 05:32:40",886,Incoming,43
"Emma Wright","Candice Powell",Nurse,"2020-04-27 05:30:50",650,Incoming,41
"Emma Wright","Martin Wilkinson",Nurse,"2020-05-28 07:27:18",686,Outgoing,34
"Emma Wright","Lilly Murphy",Carer,"2020-05-31 12:46:38",742,Incoming,85
"Emma Wright","Stephanie Jones",Carer,"2020-06-14 03:22:17",275,Outgoing,41
"Emma Wright","Anthony Adams",Nurse,"2020-06-13 11:02:02",980,Incoming,29
"Emma Wright","Lexi Jones",Nurse,"2020-04-18 11:03:58",477,Incoming,80
"Emma Wright","Lola Ellis",Nurse,"2020-06-13 06:51:46",806,Outgoing,96
"Emma Wright","Michael Walker",Carer,"2020-04-24 05:41:12",689,Outgoing,75
"Emma Wright","Lola Ellis",Nurse,"2020-05-11 05:39:59",945,Outgoing,65
"Emma Wright","Martin Wilkinson",Nurse,"2020-06-11 12:01:58",672,Incoming,73
"Emma Wright","Sophia Wilson",Nurse,"2020-04-20 10:11:28",680,Incoming,49
"Emma Wright","Gary Harris",Carer,"2020-05-25 06:48:13",579,Outgoing,27
"Emma Wright","Lexi Cox",Nurse,"2020-06-14 06:48:49",103,Outgoing,85
"Emma Wright","Emma Robinson",Carer,"2020-04-22 03:42:52",871,Outgoing,2
"Emma Wright","Andrew Davis",Nurse,"2020-05-09 11:34:13",971,Outgoing,66
"Emma Wright","Alexa Watson",Carer,"2020-05-17 09:14:24",130,Outgoing,16
"Emma Wright","Owen Green",Nurse,"2020-05-15 02:03:36",228,Outgoing,68
"Emma Wright","Dylan Matthews",Nurse,"2020-04-15 12:20:55",439,Outgoing,11
"Emma Wright","Patrick Chapman",Nurse,"2020-06-03 02:07:49",858,Outgoing,48
"Emma Wright","Riley Kennedy",Nurse,"2020-06-09 09:05:32",566,Outgoing,12
"Emma Wright","Alexa Watson",Carer,"2020-04-24 11:08:42",263,Outgoing,57
"Emma Wright","Paul Patel",Carer,"2020-04-19 05:38:14",128,Outgoing,84
"Emma Wright","Phoebe Saunders",Carer,"2020-05-17 09:13:27",945,Incoming,88
"Emma Wright","Emma Robinson",Carer,"2020-04-22 12:23:44",415,Outgoing,43
"Emma Wright","Naomi Brown",Nurse,"2020-05-30 04:57:30",125,Incoming,4
"Emma Wright","Bradley Stewart",Carer,"2020-05-01 04:32:10",456,Incoming,2
"Emma Wright","Elliott Saunders",Carer,"2020-04-18 02:14:38",129,Incoming,82
"Emma Wright","Emma Smith",Carer,"2020-06-08 12:09:38",378,Incoming,93
"Emma Wright","Charlie Stewart",Carer,"2020-05-18 04:39:56",930,Incoming,59
"Emma Wright","Olivia Shaw",Carer,"2020-05-07 09:57:39",710,Outgoing,62
"Emma Wright","Charlie Martin",Nurse,"2020-06-05 05:26:22",651,Incoming,56
"Emma Wright","Kelly Walsh",Nurse,"2020-06-16 12:33:40",904,Outgoing,80
"Emma Wright","Emma Robinson",Carer,"2020-06-16 08:12:45",445,Incoming,51
"Emma Wright","Liam Adams",Carer,"2020-04-26 06:52:39",350,Incoming,60
"Emma Wright","Jim Williams",Carer,"2020-06-04 02:15:38",449,Outgoing,55
"Emma Wright","Vicky Ellis",Nurse,"2020-04-29 04:58:25",864,Incoming,31
"Emma Wright","Donna Holmes",Nurse,"2020-05-18 11:04:26",838,Outgoing,92
"Emma Wright","Karlie Rogers",Nurse,"2020-04-23 04:51:43",169,Outgoing,69
"Emma Wright","Karlie Baker",Nurse,"2020-06-06 07:32:07",734,Outgoing,17
"Emma Wright","Elizabeth Carter",Nurse,"2020-05-30 03:02:19",411,Outgoing,30
"Emma Wright","Jeremy Powell",Nurse,"2020-05-21 06:19:23",906,Incoming,98
"Emma Wright","Andy Reid",Carer,"2020-05-28 09:50:03",839,Outgoing,0
"Emma Wright","Carole Hill",Nurse,"2020-05-13 02:15:32",569,Outgoing,92
"Emma Wright","Elsie Shaw",Nurse,"2020-04-19 01:31:05",677,Outgoing,97
"Emma Wright","Carole Adams",Nurse,"2020-06-02 01:24:46",787,Outgoing,2
"Emma Wright","Courtney Price",Carer,"2020-05-27 08:25:47",851,Outgoing,8
"Emma Wright","Karlie Rogers",Nurse,"2020-04-29 04:43:08",909,Incoming,60
"Emma Wright","Keith Simpson",Carer,"2020-05-20 08:52:46",951,Outgoing,41
"Emma Wright","Dylan Owen",Nurse,"2020-05-03 01:07:37",121,Incoming,44
"Emma Wright","Nathan Bennett",Carer,"2020-06-13 01:45:27",357,Incoming,29
"Emma Wright","Andy Reid",Carer,"2020-05-22 08:26:27",283,Incoming,19
"Emma Wright","Jayden Patel",Carer,"2020-05-05 08:44:26",647,Incoming,99
"Emma Wright","Lexi Cox",Nurse,"2020-06-05 02:25:25",300,Incoming,24
"Emma Wright","Abbie Bailey",Carer,"2020-05-20 05:12:13",971,Outgoing,93
"Emma Wright","Naomi Brown",Nurse,"2020-05-08 03:34:05",877,Outgoing,63
"Emma Wright","Jayden Patel",Carer,"2020-05-22 06:42:56",615,Outgoing,20
"Emma Wright","Abbie Bailey",Carer,"2020-05-13 04:20:20",385,Outgoing,83
"Emma Wright","Jessica Hunt",Carer,"2020-06-07 07:51:17",792,Incoming,57
"Emma Wright","Megan Knight",Nurse,"2020-04-19 11:25:47",724,Outgoing,23
"Emma Wright","Florence Fox",Nurse,"2020-06-12 02:36:03",236,Incoming,31
"Emma Wright","Ian Ward",Nurse,"2020-05-03 08:45:25",359,Outgoing,60
"Emma Wright","Gary Harris",Carer,"2020-06-13 06:52:23",837,Incoming,70
"Emma Wright","Suzanne Campbell",Carer,"2020-06-13 02:15:53",982,Incoming,72
"Emma Wright","Suzanne Campbell",Carer,"2020-05-10 08:24:06",941,Incoming,21
"Emma Wright","Mark Walsh",Nurse,"2020-05-11 06:14:11",268,Incoming,63
"Emma Wright","Caitlin Ross",Carer,"2020-05-25 02:26:38",841,Incoming,82
"Emma Wright","Keith Simpson",Carer,"2020-05-26 01:12:48",702,Incoming,4
"Emma Wright","Olivia Shaw",Carer,"2020-04-27 11:39:08",674,Outgoing,77
"Emma Wright","Michael Phillips",Carer,"2020-05-04 01:49:05",891,Outgoing,13
"Emma Wright","Michael Phillips",Carer,"2020-06-04 06:10:55",644,Incoming,70
"Emma Wright","Vicky Ellis",Nurse,"2020-05-02 08:26:47",842,Outgoing,27
"Emma Wright","Jacob Matthews",Nurse,"2020-06-11 10:07:28",772,Incoming,78
"Emma Wright","Yasmine Robertson",Nurse,"2020-05-18 04:55:45",320,Outgoing,71
"Emma Wright","Kevin Young",Carer,"2020-05-07 02:57:16",737,Outgoing,73
"Emma Wright","Carole Adams",Nurse,"2020-04-22 06:51:06",847,Incoming,99
"Emma Wright","Karlie Rogers",Nurse,"2020-05-24 12:42:03",955,Outgoing,66
"Emma Wright","Scott Miller",Carer,"2020-04-25 10:39:57",529,Outgoing,92
"Emma Wright","Jacob Khan",Nurse,"2020-06-09 06:57:21",354,Outgoing,3
"Emma Wright","Andrew Harrison",Carer,"2020-06-05 05:07:55",435,Incoming,8
"Emma Wright","Riley Kennedy",Nurse,"2020-05-27 03:19:04",979,Incoming,5
"Emma Wright","Jayden Patel",Carer,"2020-05-13 11:03:51",734,Outgoing,89
"Emma Wright","Keith Simpson",Carer,"2020-06-06 04:43:05",539,Outgoing,53
"Emma Wright","Vicky Ellis",Nurse,"2020-04-17 02:23:24",461,Incoming,85
"Emma Wright","Rowena Smith",Carer,"2020-04-24 05:08:20",540,Outgoing,98
"Emma Wright","Gary Harris",Carer,"2020-04-16 03:28:04",220,Incoming,43
"Emma Wright","Lilly Murphy",Carer,"2020-05-24 09:14:27",935,Incoming,80
"Emma Wright","Karlie Baker",Nurse,"2020-04-24 06:39:22",481,Incoming,93
"Emma Wright","Emma Smith",Carer,"2020-06-14 08:29:41",133,Incoming,59
"Emma Wright","Donna Holmes",Nurse,"2020-06-01 06:08:16",883,Incoming,15
"Emma Wright","Rachel Roberts",Carer,"2020-05-10 06:12:53",148,Outgoing,85
"Emma Wright","Jim Williams",Carer,"2020-05-02 05:46:52",559,Outgoing,44
"Emma Wright","Mark Walsh",Nurse,"2020-06-12 09:47:58",629,Outgoing,33
"Emma Wright","Toby Martin",Carer,"2020-06-16 01:14:43",780,Outgoing,20
"Emma Wright","Bradley Stewart",Carer,"2020-06-05 10:21:35",775,Outgoing,60
"Emma Wright","Florence Fox",Nurse,"2020-05-06 09:15:57",329,Incoming,54
"Emma Wright","Emma Robinson",Carer,"2020-05-09 03:24:20",284,Incoming,59
"Emma Wright","Caitlin Thompson",Nurse,"2020-04-30 02:42:39",792,Incoming,45
"Emma Wright","Karlie Rogers",Nurse,"2020-06-01 10:37:39",413,Outgoing,52
"Emma Wright","Abbie Bailey",Carer,"2020-06-16 02:32:10",837,Incoming,69
"Emma Wright","Riley Kennedy",Nurse,"2020-05-26 06:24:55",991,Outgoing,18
"Emma Wright","Jayden Patel",Carer,"2020-06-01 10:53:18",591,Incoming,57
"Emma Wright","Naomi Brown",Nurse,"2020-05-25 03:45:31",358,Incoming,48
"Emma Wright","Sophia Wilson",Nurse,"2020-04-18 07:30:02",432,Outgoing,90
"Emma Wright","Brandon Evans",Carer,"2020-04-20 01:31:41",276,Outgoing,78
"Emma Wright","Michael Miller",Nurse,"2020-05-03 01:32:23",497,Outgoing,11
"Emma Wright","Yasmine Robertson",Nurse,"2020-05-11 09:59:08",190,Incoming,9
"Emma Wright","Lexi Jones",Nurse,"2020-06-03 05:06:07",192,Outgoing,74
"Emma Wright","Karlie Rogers",Nurse,"2020-04-27 12:45:20",322,Outgoing,63
"Emma Wright","Mohammed Roberts",Nurse,"2020-05-22 05:46:51",563,Incoming,53
"Emma Wright","Charles Scott",Carer,"2020-05-03 09:18:57",530,Incoming,16
"Emma Wright","Caitlin Ross",Carer,"2020-05-02 09:54:26",888,Incoming,84
"Emma Wright","Andrew Harrison",Carer,"2020-06-07 11:53:10",326,Incoming,46
"Emma Wright","Riley Kennedy",Nurse,"2020-05-17 12:38:42",333,Outgoing,33
"Emma Wright","Frank Roberts",Carer,"2020-05-09 03:51:33",307,Outgoing,13
"Emma Wright","Stephanie Miller",Nurse,"2020-04-19 02:11:12",156,Outgoing,50
"Emma Wright","Andrew Davis",Nurse,"2020-04-26 01:38:30",302,Incoming,0
"Emma Wright","Elsie Shaw",Nurse,"2020-05-15 05:15:23",306,Incoming,75
"Emma Wright","Christian Gray",Carer,"2020-06-06 05:33:30",828,Outgoing,93
"Emma Wright","Suzanne Campbell",Carer,"2020-05-02 02:45:00",512,Outgoing,38
"Emma Wright","Sarah Hall",Nurse,"2020-04-30 09:52:19",945,Incoming,70
"Emma Wright","Florence Fox",Nurse,"2020-05-17 08:52:25",945,Outgoing,16
"Emma Wright","Kevin Young",Carer,"2020-06-04 09:02:53",304,Incoming,57
"Emma Wright","Brandon Evans",Carer,"2020-05-15 02:30:05",837,Outgoing,23
"Emma Wright","Riley Kennedy",Nurse,"2020-05-05 12:51:38",503,Outgoing,24
"Emma Wright","Charlie Stewart",Carer,"2020-04-30 02:46:31",897,Incoming,52
"Emma Wright","Aiden Richardson",Nurse,"2020-05-26 03:04:39",805,Outgoing,86
"Emma Wright","Dylan Matthews",Nurse,"2020-06-02 11:38:13",754,Incoming,89
"Emma Wright","Vicky Ellis",Nurse,"2020-06-02 03:29:34",360,Incoming,71
"Emma Wright","Christian Gray",Carer,"2020-04-19 09:58:18",844,Incoming,63
"Emma Wright","Emma Smith",Carer,"2020-04-27 09:07:35",913,Incoming,23
"Emma Wright","Andrew Davis",Nurse,"2020-05-13 06:00:37",686,Incoming,87
"Emma Wright","Jayden Patel",Carer,"2020-05-20 11:48:57",279,Incoming,93
"Emma Wright","Toby Martin",Carer,"2020-05-12 09:41:37",997,Outgoing,58
"Emma Wright","Karlie Baker",Nurse,"2020-05-10 08:25:24",260,Outgoing,37
"Emma Wright","Caitlin Thompson",Nurse,"2020-06-09 09:21:06",426,Outgoing,18
"Emma Wright","Emma Smith",Carer,"2020-05-22 10:01:44",565,Incoming,26
"Emma Wright","Phoebe Saunders",Carer,"2020-04-24 09:49:51",338,Incoming,99
"Emma Wright","Charlotte Powell",Nurse,"2020-06-14 05:36:51",101,Outgoing,54
"Emma Wright","Mohammed Roberts",Nurse,"2020-06-14 03:17:26",503,Outgoing,89
"Emma Wright","Rob Campbell",Carer,"2020-06-10 06:50:19",654,Incoming,73
"Emma Wright","Ryan Chapman",Nurse,"2020-05-14 01:56:06",678,Outgoing,14
"Emma Wright","Donna Holmes",Nurse,"2020-05-20 05:30:30",562,Outgoing,61
"Emma Wright","Naomi Richardson",Carer,"2020-05-18 12:50:50",471,Incoming,49
"Emma Wright","Olivia Shaw",Carer,"2020-05-20 10:54:42",141,Outgoing,11
"Emma Wright","Michael Miller",Nurse,"2020-04-27 03:29:07",731,Incoming,22
"Emma Wright","Andrew Gray",Nurse,"2020-04-19 05:59:24",418,Incoming,78
"Emma Wright","Anthony Kelly",Nurse,"2020-05-27 03:55:31",343,Outgoing,8
"Emma Wright","Caitlin Thompson",Nurse,"2020-04-25 12:11:29",970,Outgoing,27
"Emma Wright","Phoebe Saunders",Carer,"2020-05-26 02:04:20",234,Outgoing,13
"Emma Wright","Faye Fox",Carer,"2020-05-25 03:41:20",533,Incoming,51
"Emma Wright","Christian Gray",Carer,"2020-05-31 06:33:08",149,Outgoing,79
"Emma Wright","Caitlin Ross",Carer,"2020-05-12 08:46:47",691,Outgoing,12
"Emma Wright","Yasmine Robertson",Nurse,"2020-04-15 11:30:11",838,Incoming,59
"Emma Wright","Karlie Baker",Nurse,"2020-05-07 11:53:18",623,Incoming,76
"Emma Wright","Elsie Shaw",Nurse,"2020-06-14 10:41:47",594,Incoming,98
"Emma Wright","Stephanie Jones",Carer,"2020-06-01 02:27:11",914,Outgoing,38
"Emma Wright","Stephanie Miller",Nurse,"2020-05-30 03:55:41",367,Outgoing,88
"Emma Wright","Naomi Brown",Nurse,"2020-05-05 11:51:14",530,Incoming,60
"Emma Wright","Brandon Evans",Carer,"2020-05-22 03:12:49",801,Outgoing,25
"Emma Wright","Jayden Patel",Carer,"2020-05-24 02:31:31",944,Outgoing,63
"Emma Wright","Naomi Richardson",Carer,"2020-04-22 07:13:37",324,Incoming,65
"Emma Wright","Aiden Richardson",Nurse,"2020-06-05 06:27:54",439,Incoming,74
"Emma Wright","Dylan Owen",Nurse,"2020-05-05 09:45:27",443,Outgoing,19
"Emma Wright","Joanne Walsh",Nurse,"2020-06-14 08:03:44",582,Incoming,55
"Emma Wright","Christian Gray",Carer,"2020-04-29 11:45:52",541,Outgoing,16
"Emma Wright","Yasmine Robertson",Nurse,"2020-05-10 02:06:55",855,Incoming,96
"Emma Wright","Adrian Hall",Nurse,"2020-04-28 12:17:31",840,Outgoing,39
"Emma Wright","Olivia Shaw",Carer,"2020-04-18 10:17:36",382,Outgoing,70
"Emma Wright","Callum Johnson",Nurse,"2020-04-17 03:34:48",224,Incoming,11
"Emma Wright","Karlie Rogers",Nurse,"2020-05-23 10:32:51",833,Outgoing,92
"Emma Wright","Owen Green",Nurse,"2020-05-13 05:58:14",428,Incoming,28
"Emma Wright","Naomi Brown",Nurse,"2020-05-02 07:20:36",194,Incoming,11
"Emma Wright","Jeremy Powell",Nurse,"2020-04-16 09:35:46",993,Incoming,45
"Emma Wright","Anthony Kelly",Nurse,"2020-05-10 07:55:07",384,Outgoing,87
"Emma Wright","Gary Harris",Carer,"2020-05-12 09:45:05",801,Incoming,81
"Emma Wright","Karlie Harrison",Carer,"2020-06-09 01:24:40",298,Incoming,32
"Emma Wright","Paul Patel",Carer,"2020-05-13 04:29:44",236,Outgoing,63
"Emma Wright","Carole Adams",Nurse,"2020-04-21 03:43:26",317,Incoming,57
"Emma Wright","Rachel Roberts",Carer,"2020-06-02 06:46:36",786,Incoming,71
"Emma Wright","Stephanie Miller",Nurse,"2020-04-27 12:59:11",959,Incoming,4
"Emma Wright","Chelsea Price",Carer,"2020-05-27 07:47:53",610,Incoming,59
"Emma Wright","Brandon Evans",Carer,"2020-05-05 02:14:06",276,Incoming,72
"Emma Wright","Jeremy Powell",Nurse,"2020-06-05 12:58:06",484,Outgoing,81
"Emma Wright","Nathan Bennett",Carer,"2020-06-07 12:41:51",516,Incoming,18
"Emma Wright","Kelly Walsh",Nurse,"2020-05-13 07:36:10",395,Incoming,18
"Emma Wright","Ken Bennett",Carer,"2020-04-17 05:33:04",966,Outgoing,16
"Emma Wright","Justine Holmes",Nurse,"2020-05-28 09:22:54",819,Outgoing,13
"Emma Wright","Owen Green",Nurse,"2020-05-04 04:51:10",470,Outgoing,39
"Emma Wright","Andy Reid",Carer,"2020-05-13 10:11:31",666,Outgoing,53
"Emma Wright","Karlie Rogers",Nurse,"2020-04-30 08:36:46",468,Outgoing,50
"Emma Wright","Emma Robinson",Carer,"2020-06-04 10:36:03",470,Outgoing,41
